Category Name,CategoryID,Product Name,ProductID,Product Image Url,allImageUrls(5<),Product Url,originalPrice($),salePrice($),Commission Rate,Out of Stock Date,Discount,Click url
Luggage & Travel Bags,152404,Retro crazy horse leather Men Fashion Handbag Business Briefcase Commercia Document Laptop Case Male Attache Portfolio Bag 3061,744216985,https://ae01.alicdn.com/kf/HTB1UDWNjZjI8KJjSsppq6xbyVXaM/Retro-crazy-horse-leather-Men-Fashion-Handbag-Business-Briefcase-Commercia-Document-Laptop-Case-Male-Attache-Portfolio.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/HTB1UDWNjZjI8KJjSsppq6xbyVXaM.jpg,https://ae04.alicdn.com/kf/HTB16ct4X5LrK1Rjy1zdq6ynnpXaE.jpg,https://ae04.alicdn.com/kf/HTB1QlGeRpXXXXbDXVXXq6xXFXXXr.jpg,https://ae04.alicdn.com/kf/HTB1XsscjsbI8KJjy1zdq6ze1VXaD.jpg,https://ae04.alicdn.com/kf/HTB1xWH0jBTH8KJjy0Fiq6ARsXXaV.jpg,",https://www.aliexpress.com/item/744216985.html,117.00,59.67,8.00%,,49%,https://s.click.aliexpress.com/e/_AEga8r
Luggage & Travel Bags,152404,Travel Packing Cubes Oxford Big Folding Bag Travel Luggage Handbag Portable Travel Bag  T671,32919932911,https://ae01.alicdn.com/kf/HTB1zU4NKr5YBuNjSspoq6zeNFXa9/Travel-Packing-Cubes-Oxford-Big-Folding-Bag-Travel-Luggage-Handbag-Portable-Travel-Bag-T671.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/HTB1zU4NKr5YBuNjSspoq6zeNFXa9.jpg,https://ae04.alicdn.com/kf/HTB1g6d_KruWBuNjSszgq6z8jVXas.jpg,https://ae04.alicdn.com/kf/HTB10pLOdi6guuRkSnb4q6zu4XXab.jpg,https://ae04.alicdn.com/kf/HTB1MjJ.Kx9YBuNjy0Ffq6xIsVXaD.jpg,https://ae04.alicdn.com/kf/HTB1Ug2Wd8gXBuNjt_hNq6yEiFXa2.jpg,",https://www.aliexpress.com/item/32919932911.html,16.28,11.40,8.00%,,30%,https://s.click.aliexpress.com/e/_As3lGj
Luggage & Travel Bags,152404,Men Travel Bags Man Outdoor Genuine Leather Luggage Bag New Fashion Designer Business Trip Bag Male Coffee Black Bolsa De Viaje,10000004036782,https://ae01.alicdn.com/kf/H6faf2791d9c74cf8ab20c31868005329t/Men-Travel-Bags-Man-Outdoor-Genuine-Leather-Luggage-Bag-New-Fashion-Designer-Business-Trip-Bag-Male.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H6faf2791d9c74cf8ab20c31868005329t.jpg,https://ae04.alicdn.com/kf/H950834f2be65496886997becdb12ec265.jpg,https://ae04.alicdn.com/kf/H45eaa3e9639b4187a402d0b5c48551287.jpg,https://ae04.alicdn.com/kf/H6afa4eb39e7c407d8f29ef428272ea7aP.jpg,https://ae04.alicdn.com/kf/Haef7315a2fe14407a8ba7592e4db69d3R.jpg,",https://www.aliexpress.com/item/10000004036782.html,"1,201.33",672.74,8.00%,,44%,https://s.click.aliexpress.com/e/_9xmHTv
Luggage & Travel Bags,152404,Oxford Travel Packing Cubes Big Bag Folding Waterproof Bag T730 Large Capacity Travel Luggage Handbag Portable Travel Bags,33025026429,https://ae01.alicdn.com/kf/HTB1FuMJX3aH3KVjSZFjq6AFWpXay/Oxford-Travel-Packing-Cubes-Big-Bag-Folding-Waterproof-Bag-T730-Large-Capacity-Travel-Luggage-Handbag-Portable.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/HTB1FuMJX3aH3KVjSZFjq6AFWpXay.jpg,https://ae04.alicdn.com/kf/HTB1f13TXW1s3KVjSZFtq6yLOpXag.jpg,https://ae04.alicdn.com/kf/HTB1d_MLX9WD3KVjSZSgq6ACxVXaK.jpg,https://ae04.alicdn.com/kf/HTB1PYUTXW1s3KVjSZFAq6x_ZXXaI.jpg,https://ae04.alicdn.com/kf/HTB1HOwQX8Gw3KVjSZFDq6xWEpXa8.jpg,",https://www.aliexpress.com/item/33025026429.html,18.05,11.01,8.00%,,39%,https://s.click.aliexpress.com/e/_Ap1XpV
Luggage & Travel Bags,152404,CAI Travel Weekend Shoulder Bag Men Luggage Fitness Carry on Bags Anti-Wrinkle Gym for Suitcase Handbags waterproof Overnight,4000148147526,https://ae01.alicdn.com/kf/H5d8ba9c75f8c4983bec9733735d88b6fM/CAI-Travel-Weekend-Shoulder-Bag-Men-Luggage-Fitness-Carry-on-Bags-Anti-Wrinkle-Gym-for-Suitcase.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H5d8ba9c75f8c4983bec9733735d88b6fM.jpg,https://ae04.alicdn.com/kf/H400eb0811e3a4225bc0fb372869514c6m.jpg,https://ae04.alicdn.com/kf/Hff501c802e1f4f76a3c38984d9b25587O.jpg,https://ae04.alicdn.com/kf/H8005b2ebb24248468fd1de542a25b8eeD.jpg,https://ae04.alicdn.com/kf/H54db6e81539e4b34b4a05ac2519004ddg.jpg,",https://www.aliexpress.com/item/4000148147526.html,29.99,24.59,8.00%,,18%,https://s.click.aliexpress.com/e/_A7ocXH
Luggage & Travel Bags,152404,CAI Travel Bag Men's Luggage Duffle Business Trip Oxford Bag Large Classic Male Suitcase Laptop Anti-Theft Belt waterproof 2019,33053583596,https://ae01.alicdn.com/kf/H123defed74a8477f87ba464f92bdc4d6T/CAI-Travel-Bag-Men-s-Luggage-Duffle-Business-Trip-Oxford-Bag-Large-Classic-Male-Suitcase-Laptop.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H123defed74a8477f87ba464f92bdc4d6T.jpg,https://ae04.alicdn.com/kf/H23d5fc08dbd34369ad0cefce5f620f71w.jpg,https://ae04.alicdn.com/kf/Hd7f976d588504df4be1a1f12b3a82234v.jpg,https://ae04.alicdn.com/kf/H5a95e1b425aa418f81da8e174ada5050Q.jpg,https://ae04.alicdn.com/kf/H7f7029c87cd0497e949b0020c9c767d3g.jpg,",https://www.aliexpress.com/item/33053583596.html,63.99,55.67,8.00%,,13%,https://s.click.aliexpress.com/e/_9wSuBV
Luggage & Travel Bags,152404,RUPUTIN 7-Piece Set Travel Storage Clothes Underwear Shoes Organizer Packing Cube Bag High Capacity Luggage Organizer Travel Bag,4000230210656,https://ae01.alicdn.com/kf/H1bc30b5bf1734d2a84355c83049636b5W/RUPUTIN-7-Piece-Set-Travel-Storage-Clothes-Underwear-Shoes-Organizer-Packing-Cube-Bag-High-Capacity-Luggage.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H1bc30b5bf1734d2a84355c83049636b5W.jpg,https://ae04.alicdn.com/kf/Hd0b8c5b7fe9441859fca69b573c93d1eI.jpg,https://ae04.alicdn.com/kf/H0b8d63ef03b948f9b6d56158baa2af49E.jpg,https://ae04.alicdn.com/kf/H7470a39877f04ab29c9edfe4a7e16a36a.jpg,https://ae04.alicdn.com/kf/H75b58fe70506489eb41530db8291240bF.jpg,",https://www.aliexpress.com/item/4000230210656.html,23.12,15.26,8.50%,,34%,https://s.click.aliexpress.com/e/_AoHZjp
Luggage & Travel Bags,152404,CAI Travel Bag Men Luggage 2019 Fitness Carry on Weekend Bags Anti-Wrinkle Gym Large for Suitcase Handbags waterproof Overnight,33057141260,https://ae01.alicdn.com/kf/H9e8d87d5e79a45718798729b637a3a00q/CAI-Travel-Bag-Men-Luggage-2019-Fitness-Carry-on-Weekend-Bags-Anti-Wrinkle-Gym-Large-for.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H9e8d87d5e79a45718798729b637a3a00q.jpg,https://ae04.alicdn.com/kf/H2ce53c2ef738472b8463f7a5665151ebM.jpg,https://ae04.alicdn.com/kf/H0f04587f9a274f90ba00a32422c61effj.jpg,https://ae04.alicdn.com/kf/Hcdcbc438889c48628aad0e941d3abacfb.jpg,https://ae04.alicdn.com/kf/H3770d7c43a8242bb91b0d126c7b95842M.jpg,",https://www.aliexpress.com/item/33057141260.html,36.99,22.93,8.00%,,38%,https://s.click.aliexpress.com/e/_AVEL0x
Luggage & Travel Bags,152404,RUPUTIN Women Men Travel Bag Collapsible Ladies Shopping Bag Grocery Puller Trolley Bag Wheel Bag Portable Storage Shopping Cart,32922447235,https://ae01.alicdn.com/kf/HTB1BGAUKqmWBuNjy1Xaq6xCbXXaa/RUPUTIN-Women-Men-Travel-Bag-Collapsible-Ladies-Shopping-Bag-Grocery-Puller-Trolley-Bag-Wheel-Bag-Portable.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/HTB1BGAUKqmWBuNjy1Xaq6xCbXXaa.jpg,https://ae04.alicdn.com/kf/HTB1VpYsKASWBuNjSszdq6zeSpXaY.jpg,https://ae04.alicdn.com/kf/HTB1zTpOKpuWBuNjSszbq6AS7FXaV.jpg,https://ae04.alicdn.com/kf/HTB1kKeAKv5TBuNjSspmq6yDRVXaJ.jpg,https://ae04.alicdn.com/kf/HTB1szTHdjfguuRjSspkq6xchpXav.jpg,",https://www.aliexpress.com/item/32922447235.html,33.19,24.89,8.50%,,25%,https://s.click.aliexpress.com/e/_9GNoQ7
Luggage & Travel Bags,152404,"Felt Travel bag Insert Backpack Organizer, Purse Organizer For Men,Women Backpack For Mummy Shoulder Tote Bags Handbag Organizer",32933462889,https://ae01.alicdn.com/kf/HTB14hDEXovrK1RjSspcq6zzSXXaO/Felt-Travel-bag-Insert-Backpack-Organizer-Purse-Organizer-For-Men-Women-Backpack-For-Mummy-Shoulder-Tote.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/HTB14hDEXovrK1RjSspcq6zzSXXaO.jpg,https://ae04.alicdn.com/kf/HTB1DSLEXcfrK1RkSmLyq6xGApXaw.jpg,https://ae04.alicdn.com/kf/HTB1cHDFXozrK1RjSspmq6AOdFXaM.jpg,https://ae04.alicdn.com/kf/HTB1.tvGXfvsK1Rjy0Fiq6zwtXXaf.jpg,https://ae04.alicdn.com/kf/HTB1LMLGXcfrK1Rjy1Xdq6yemFXaX.jpg,",https://www.aliexpress.com/item/32933462889.html,21.35,15.80,9.00%,,26%,https://s.click.aliexpress.com/e/_9jBqeb
Luggage & Travel Bags,152404,Oxford Travel Bag Women Waterproof Female Handbag Duffle Traveling Bag T736 Large Capacity Hand Luggage Bags Travel Bags For Wom,33036482229,https://ae01.alicdn.com/kf/HTB1WDl3ca5s3KVjSZFNq6AD3FXaH/Oxford-Travel-Bag-Women-Waterproof-Female-Handbag-Duffle-Traveling-Bag-T736-Large-Capacity-Hand-Luggage-Bags.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/HTB1WDl3ca5s3KVjSZFNq6AD3FXaH.jpg,https://ae04.alicdn.com/kf/HTB1Ztl1clCw3KVjSZFlq6AJkFXaT.jpg,https://ae04.alicdn.com/kf/HTB1Q4xUcliE3KVjSZFMq6zQhVXae.jpg,https://ae04.alicdn.com/kf/HTB1F2dUcliE3KVjSZFMq6zQhVXaq.jpg,https://ae04.alicdn.com/kf/HTB1NvFYcmWD3KVjSZSgq6ACxVXa0.jpg,",https://www.aliexpress.com/item/33036482229.html,26.90,14.79,8.00%,,45%,https://s.click.aliexpress.com/e/_AoF8qx
Luggage & Travel Bags,152404,CAI Travel Bag Men Oxford Luggage Carry on Business Trip Duffle Folding Bags Gym Suitcase waterproof Handbag Overnight Weekend,4000064117590,https://ae01.alicdn.com/kf/Hb7c9f54b2ecb43b0948ccc754cab7b1ch/CAI-Travel-Bag-Men-Oxford-Luggage-Carry-on-Business-Trip-Duffle-Folding-Bags-Gym-Suitcase-waterproof.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hb7c9f54b2ecb43b0948ccc754cab7b1ch.jpg,https://ae04.alicdn.com/kf/H0c523ed532b9449f96955a6c247d613e5.jpg,https://ae04.alicdn.com/kf/H464157d6a47141bcb67725b4d57a7c620.jpg,https://ae04.alicdn.com/kf/H82b35774676c4de596251f1814b5d11bh.jpg,https://ae04.alicdn.com/kf/H6726f8e41c01407a805e0002cbb3e934o.jpg,",https://www.aliexpress.com/item/4000064117590.html,44.99,36.89,8.00%,,18%,https://s.click.aliexpress.com/e/_9vkzkx
Luggage & Travel Bags,152404,Brand waterproof travel bag men's clothing bag business travel shoulder bag 2-in-1 multi-function large luggage handbag casual h,32897324289,https://ae01.alicdn.com/kf/HTB1tBDEX.LrK1Rjy0Fjq6zYXFXaY/Brand-waterproof-travel-bag-men-s-clothing-bag-business-travel-shoulder-bag-2-in-1-multi.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/HTB1tBDEX.LrK1Rjy0Fjq6zYXFXaY.jpg,https://ae04.alicdn.com/kf/HTB1cyzzXZvrK1Rjy0Feq6ATmVXaD.jpg,https://ae04.alicdn.com/kf/HTB1a_6DXZnrK1RjSspkq6yuvXXa9.jpg,https://ae04.alicdn.com/kf/HTB1piTBX5zxK1RjSspjq6AS.pXaV.jpg,https://ae04.alicdn.com/kf/HTB1w66EX.rrK1RkSne1q6ArVVXaM.jpg,",https://www.aliexpress.com/item/32897324289.html,407.70,199.77,8.00%,,51%,https://s.click.aliexpress.com/e/_9RyTgF
Luggage & Travel Bags,152404,New Women Trolley Case Boarding Bag Large Capacity Folding Travel Bag Organizer Clothing Storage Bag Abroad Luggage Sorting Bag,4000079840163,https://ae01.alicdn.com/kf/Hcfd0552705e44fcb8a214f825e7ee01c0/New-Women-Trolley-Case-Boarding-Bag-Large-Capacity-Folding-Travel-Bag-Organizer-Clothing-Storage-Bag-Abroad.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hcfd0552705e44fcb8a214f825e7ee01c0.jpg,https://ae04.alicdn.com/kf/H034498fb0b284e239d3b5a6d424695abr.jpg,https://ae04.alicdn.com/kf/H5ad9286e94f04b9082321904afa002cdy.jpg,https://ae04.alicdn.com/kf/H2f594015fcb5477d87ae92e8c2f89710S.jpg,https://ae04.alicdn.com/kf/H4cdd5e336dc84284b99e34711b569429f.jpg,",https://www.aliexpress.com/item/4000079840163.html,10.82,7.25,8.00%,,33%,https://s.click.aliexpress.com/e/_ATi0W3
Luggage & Travel Bags,152404,Large Capacity  Men Travel Bags Portable 3 SIZE Weekend Handbags Black Luggage 20%OFF T309,32823451697,https://ae01.alicdn.com/kf/HTB1fzhdSpXXXXX0aXXXq6xXFXXXu/Large-Capacity-Men-Travel-Bags-Portable-3-SIZE-Weekend-Handbags-Black-Luggage-20-OFF-T309.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/HTB1fzhdSpXXXXX0aXXXq6xXFXXXu.jpg,https://ae04.alicdn.com/kf/HTB1c1RgSpXXXXcsXVXXq6xXFXXXR.jpg,https://ae04.alicdn.com/kf/HTB1FitBSpXXXXXoXpXXq6xXFXXXX.jpg,https://ae04.alicdn.com/kf/HTB1I_dcSpXXXXXlaXXXq6xXFXXXa.jpg,https://ae04.alicdn.com/kf/HTB1iFFdSpXXXXc3XVXXq6xXFXXXG.jpg,",https://www.aliexpress.com/item/32823451697.html,19.97,16.18,8.00%,,19%,https://s.click.aliexpress.com/e/_A7waeF
Luggage & Travel Bags,152404,Oxford Waterproof Large Capacity Men Travel Bag Unisex Luggage Travel Handbags Packing Cubes 30%OFF T518,32850413078,https://ae01.alicdn.com/kf/HTB1c9oKov2H8KJjy1zkq6xr7pXaU/Oxford-Waterproof-Large-Capacity-Men-Travel-Bag-Unisex-Luggage-Travel-Handbags-Packing-Cubes-30-OFF-T518.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/HTB1c9oKov2H8KJjy1zkq6xr7pXaU.jpg,https://ae04.alicdn.com/kf/HTB1QryYeAfb_uJkSmLyq6AxoXXaf.jpg,https://ae04.alicdn.com/kf/HTB1h4fLosrI8KJjy0Fhq6zfnpXaW.jpg,https://ae04.alicdn.com/kf/HTB1fyq.eAfb_uJkSnhJq6zdDVXa8.jpg,https://ae04.alicdn.com/kf/HTB1imjwoDnI8KJjSszgq6A8ApXay.jpg,",https://www.aliexpress.com/item/32850413078.html,26.71,19.23,8.00%,,28%,https://s.click.aliexpress.com/e/_AbQMDD
Luggage & Travel Bags,152404,Large Capacity Men Hand Luggage Travel Duffle Bags Canvas Travel Bags Weekend Shoulder Bags Multifunctional Overnight Duffel Bag,32833756502,https://ae01.alicdn.com/kf/H8879a438f0b14b869ed2e27eddcd264bi/Large-Capacity-Men-Hand-Luggage-Travel-Duffle-Bags-Canvas-Travel-Bags-Weekend-Shoulder-Bags-Multifunctional-Overnight.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H8879a438f0b14b869ed2e27eddcd264bi.jpg,https://ae04.alicdn.com/kf/H7ca8ab8ab2ac44b89e962dd0620fe2ddi.jpg,https://ae04.alicdn.com/kf/HTB1jNTJmN3IL1JjSZPfq6ArUVXaK.jpg,https://ae04.alicdn.com/kf/HTB1FX7lmOAKL1JjSZFoq6ygCFXaY.jpg,https://ae04.alicdn.com/kf/HTB1oM2GiBUSMeJjy1zkq6yWmpXaz.jpg,",https://www.aliexpress.com/item/32833756502.html,66.50,39.90,8.00%,,40%,https://s.click.aliexpress.com/e/_98R8zD
Luggage & Travel Bags,152404,Cation 7PCS/Set Travel Bags Multi-function Clothing Underwear Cosmetic Data Finishing Storage Bag Luggage Organizer Packing Cube,4000230974055,https://ae01.alicdn.com/kf/H0aa9b00be9ef4cb2b7b4c94998b57b2eX/Cation-7PCS-Set-Travel-Bags-Multi-function-Clothing-Underwear-Cosmetic-Data-Finishing-Storage-Bag-Luggage-Organizer.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H0aa9b00be9ef4cb2b7b4c94998b57b2eX.jpg,https://ae04.alicdn.com/kf/H76acb4619524401ea6719e78402424f3b.jpg,https://ae04.alicdn.com/kf/H45c3857b34b840ceaa017a57364f3081W.jpg,https://ae04.alicdn.com/kf/Hab180f29e2e8483bbd5d7f70c8d68cb52.jpg,https://ae04.alicdn.com/kf/H44fbd4f8af9142f399ad1171d0b87f0d3.jpg,",https://www.aliexpress.com/item/4000230974055.html,22.61,15.37,8.00%,,32%,https://s.click.aliexpress.com/e/_Ab4O6j
Luggage & Travel Bags,152404,RUPUTIN Travel Abroad Boarding Bag Large Capacity Hand Luggage Shoulder Bag Storage Clothes Bag Trolley Case Oxford Travel Bag,32922034773,https://ae01.alicdn.com/kf/HTB1cTdFXinrK1RjSsziq6xptpXas/RUPUTIN-Travel-Abroad-Boarding-Bag-Large-Capacity-Hand-Luggage-Shoulder-Bag-Storage-Clothes-Bag-Trolley-Case.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/HTB1cTdFXinrK1RjSsziq6xptpXas.jpg,https://ae04.alicdn.com/kf/HTB1sx_lX9zqK1RjSZFpq6ykSXXab.jpg,https://ae04.alicdn.com/kf/HTB1WSVFXfjsK1Rjy1Xaq6zispXa1.jpg,https://ae04.alicdn.com/kf/HTB1U8BFXhrvK1RjSszeq6yObFXaS.jpg,https://ae04.alicdn.com/kf/HTB1yKJFXizxK1RkSnaVq6xn9VXam.jpg,",https://www.aliexpress.com/item/32922034773.html,21.09,16.45,8.00%,,22%,https://s.click.aliexpress.com/e/_ArXosP
Luggage & Travel Bags,152404,RUPUTIN Men Small Travel Bags Foldable Suitcase Weekend Bag Female Packing Cubes Tote Luggage Storage Organizer Collation Pouch,32916173486,https://ae01.alicdn.com/kf/HTB1E_kkKbGYBuNjy0Foq6AiBFXa1/RUPUTIN-Men-Small-Travel-Bags-Foldable-Suitcase-Weekend-Bag-Female-Packing-Cubes-Tote-Luggage-Storage-Organizer.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/HTB1E_kkKbGYBuNjy0Foq6AiBFXa1.jpg,https://ae04.alicdn.com/kf/HTB1VpZlKbGYBuNjy0Foq6AiBFXag.jpg,https://ae04.alicdn.com/kf/HTB1gEscKf9TBuNjy1zbq6xpepXaB.jpg,https://ae04.alicdn.com/kf/HTB10etguj7nBKNjSZLeq6zxCFXaF.jpg,https://ae04.alicdn.com/kf/HTB1uAh0KxWYBuNjy1zkq6xGGpXaC.jpg,",https://www.aliexpress.com/item/32916173486.html,14.39,11.51,8.00%,,20%,https://s.click.aliexpress.com/e/_985f0j
