"Product ID","Product Name","Product Main image","Product Details Page Link","Product Price(Unit price)",Commission,"Promotion Link(Valid for 15 days)"
1705877,"Wltoys K969 1/28 2.4G 4WD Brushed RC Car Drift Car Two Battery 7.4V 400mAh",https://imgaz.staticbg.com/thumb/gallery/oaupload/banggood/images/89/C4/707b4825-5f94-4f39-a0da-1e2e7e8148c2.jpg,https://www.banggood.com/Wltoys-K969-1-or-28-2_4G-4WD-Brushed-RC-Car-Drift-Car-Two-Battery-7_4V-400mAh-reviews-p1705877.html,US$86.59,US$6.06,https://www.banggood.com/Wltoys-K969-1-or-28-2_4G-4WD-Brushed-RC-Car-Drift-Car-Two-Battery-7_4V-400mAh-p-1705877.html?p=4T181370308054202203&custlinkid=1794858
1710589,"WPL C24 1/16 2.4G 4WD Crawler Truck RC Car Full Proportional Control RTR",https://imgaz.staticbg.com/thumb/gallery/oaupload/banggood/images/04/BC/915e1f10-1bbb-41d6-8681-f265826760ee.jpg,https://www.banggood.com/WPL-C24-1-or-16-2_4G-4WD-Crawler-Truck-RC-Car-Full-Proportional-Control-RTR-reviews-p1710589.html,US$53.99,US$3.78,https://www.banggood.com/WPL-C24-1-or-16-2_4G-4WD-Crawler-Truck-RC-Car-Full-Proportional-Control-RTR-p-1710589.html?p=4T181370308054202203&custlinkid=1794859
1712772,"HS 18323 1/18 2.4G 4WD 36km/h RC Car Model Proportional Control Big Foot Off Road Truck RTR Vehicle",https://imgaz.staticbg.com/thumb/gallery/oaupload/banggood/images/F8/2F/d10f0a18-a70a-4382-8152-68989cc36375.jpg,https://www.banggood.com/HS-18323-1-or-18-2_4G-4WD-36km-or-h-RC-Car-Model-Proportional-Control-Big-Foot-Off-Road-Truck-RTR-Vehicle-reviews-p1712772.html,US$51.99,US$3.64,https://www.banggood.com/HS-18323-1-or-18-2_4G-4WD-36km-or-h-RC-Car-Model-Proportional-Control-Big-Foot-Off-Road-Truck-RTR-Vehicle-p-1712772.html?p=4T181370308054202203&custlinkid=1794860
1720320,"WPL D12 1/10 2.4G 2WD Military Truck Crawler Off Road RC Car Vehicle Models Toy",https://imgaz2.staticbg.com/thumb/gallery/oaupload/banggood/images/D4/D4/5453a41c-8c10-4468-afc5-13038b9ed852.jpg,https://www.banggood.com/WPL-D12-1-or-10-2_4G-2WD-Military-Truck-Crawler-Off-Road-RC-Car-Vehicle-Models-Toy-reviews-p1720320.html,US$50.99,US$3.57,https://www.banggood.com/WPL-D12-1-or-10-2_4G-2WD-Military-Truck-Crawler-Off-Road-RC-Car-Vehicle-Models-Toy-p-1720320.html?p=4T181370308054202203&custlinkid=1794861
1741375,"Eachine EAT08 1/14 All Terrain RC Car RTR Electric Vehicle with 2.4 GHz Remote Control LED Lights and Several Rechargeable Batteries Off Road RC Crawler 20+ Min Play Great Gifts for Boys Kids and Adults",https://imgaz.staticbg.com/thumb/gallery/oaupload/banggood/images/54/8A/7e8cf6a1-025c-4ff3-ae54-692aef0a5578.jpg,https://www.banggood.com/Eachine-EAT08-1-or-14-All-Terrain-RC-Car-RTR-Electric-Vehicle-with-2_4-GHz-Remote-Control-LED-Lights-and-Several-Rechargeable-Batteries-Off-Road-RC-Crawler-20+-Min-Play-Great-Gifts-for-Boys-Kids-and-Adults-reviews-p1741375.html,"US$28.99 ~ US$32.99",US$2.03,https://www.banggood.com/Eachine-EAT08-1-or-14-All-Terrain-RC-Car-RTR-Electric-Vehicle-with-2_4-GHz-Remote-Control-LED-Lights-and-Several-Rechargeable-Batteries-Off-Road-RC-Crawler-20+-Min-Play-Great-Gifts-for-Boys-Kids-and-Adults-p-1741375.html?p=4T181370308054202203&custlinkid=1794862
1756976,"DGF1 1/10 RC Car Frame W/ Carbon Fiber Sponge Tire Kit For Racing Drift Car Without Battery Transmitter",https://imgaz1.staticbg.com/thumb/gallery/oaupload/banggood/images/DA/F8/ca434e6d-0cc8-45ad-aa7e-539e8fc61236.jpg,https://www.banggood.com/DGF1-1-or-10-RC-Car-Frame-W-or-Carbon-Fiber-Sponge-Tire-Kit-For-Racing-Drift-Car-Without-Battery-Transmitter-reviews-p1756976.html,"US$149.99 ~ US$161.99",US$10.5,https://www.banggood.com/DGF1-1-or-10-RC-Car-Frame-W-or-Carbon-Fiber-Sponge-Tire-Kit-For-Racing-Drift-Car-Without-Battery-Transmitter-p-1756976.html?p=4T181370308054202203&custlinkid=1794863
1757087,"Wltoys 124018 RTR 1/12 2.4G 4WD 60km/h Metal Chassis RC Car Off-Road Truck 2200mAh Vehicles Models Kids Toys",https://imgaz2.staticbg.com/thumb/gallery/oaupload/banggood/images/2F/A8/1df87eae-34ef-4fdc-9194-39906383cf2b.jpg,https://www.banggood.com/Wltoys-124018-RTR-1-or-12-2_4G-4WD-60km-or-h-Metal-Chassis-RC-Car-Off-Road-Truck-2200mAh-Vehicles-Models-Kids-Toys-reviews-p1757087.html,US$161.69,US$11.32,https://www.banggood.com/Wltoys-124018-RTR-1-or-12-2_4G-4WD-60km-or-h-Metal-Chassis-RC-Car-Off-Road-Truck-2200mAh-Vehicles-Models-Kids-Toys-p-1757087.html?p=4T181370308054202203&custlinkid=1794864
1757187,"Wltoys 124019 RTR 1/12 2.4G 4WD 60km/h Metal Chassis RC Car Off-Road Vehicles 2200mAh Models Kids Toys",https://imgaz3.staticbg.com/thumb/gallery/oaupload/banggood/images/FE/55/6254fe0a-66cb-4965-9934-c26343c3a38d.jpg,https://www.banggood.com/Wltoys-124019-RTR-1-or-12-2_4G-4WD-60km-or-h-Metal-Chassis-RC-Car-Off-Road-Vehicles-2200mAh-Models-Kids-Toys-reviews-p1757187.html,US$132.99,US$9.31,https://www.banggood.com/Wltoys-124019-RTR-1-or-12-2_4G-4WD-60km-or-h-Metal-Chassis-RC-Car-Off-Road-Vehicles-2200mAh-Models-Kids-Toys-p-1757187.html?p=4T181370308054202203&custlinkid=1794865
1765764,"Eachine EAT09 1/22 2.4G Remote Control Car Toy with Several Batteries High Speed 15-20 Km/h RC Off Road Crawler All Terrains 50+ Min Play Time RC Vehicle Electric Toy Car for Kids and Beginners",https://imgaz.staticbg.com/thumb/gallery/oaupload/banggood/images/67/8C/36db7607-6e62-405b-8f83-9dff90976acc.jpg,https://www.banggood.com/Eachine-EAT09-1-or-22-2_4G-Remote-Control-Car-Toy-with-Several-Batteries-High-Speed-15-20-Km-or-h-RC-Off-Road-Crawler-All-Terrains-50+-Min-Play-Time-RC-Vehicle-Electric-Toy-Car-for-Kids-and-Beginners-reviews-p1765764.html,"US$28.99 ~ US$33.99",US$1.54,https://www.banggood.com/Eachine-EAT09-1-or-22-2_4G-Remote-Control-Car-Toy-with-Several-Batteries-High-Speed-15-20-Km-or-h-RC-Off-Road-Crawler-All-Terrains-50+-Min-Play-Time-RC-Vehicle-Electric-Toy-Car-for-Kids-and-Beginners-p-1765764.html?p=4T181370308054202203&custlinkid=1794866
1766600,"Wltoys 124019 Several 2200mAh Battery RTR 1/12 2.4G 4WD 60km/h Metal Chassis RC Car Vehicles Models Kids Toys",https://imgaz.staticbg.com/thumb/gallery/oaupload/banggood/images/B1/BE/46e1a0f5-2a72-4f51-9663-1eaec0432f75.png,https://www.banggood.com/Wltoys-124019-Several-2200mAh-Battery-RTR-1-or-12-2_4G-4WD-60km-or-h-Metal-Chassis-RC-Car-Vehicles-Models-Kids-Toys-reviews-p1766600.html,"US$154.99 ~ US$164.49",US$12.53,https://www.banggood.com/Wltoys-124019-Several-2200mAh-Battery-RTR-1-or-12-2_4G-4WD-60km-or-h-Metal-Chassis-RC-Car-Vehicles-Models-Kids-Toys-p-1766600.html?p=4T181370308054202203&custlinkid=1794867
1779809,"Wltoys 124018 Several 2200mAh Battery RTR 1/12 2.4G 4WD 60km/h Metal Chassis RC Car Vehicles Models Kids Toys",https://imgaz.staticbg.com/thumb/gallery/oaupload/banggood/images/00/A5/b8af8ac7-e467-4bae-ae5e-4d0e3104f31a.png,https://www.banggood.com/Wltoys-124018-Several-2200mAh-Battery-RTR-1-or-12-2_4G-4WD-60km-or-h-Metal-Chassis-RC-Car-Vehicles-Models-Kids-Toys-reviews-p1779809.html,"US$114.99 ~ US$124.99",US$12.53,https://www.banggood.com/Wltoys-124018-Several-2200mAh-Battery-RTR-1-or-12-2_4G-4WD-60km-or-h-Metal-Chassis-RC-Car-Vehicles-Models-Kids-Toys-p-1779809.html?p=4T181370308054202203&custlinkid=1794868
1787975,"EACHINE EC10 Stunt RC Car Double Sided 360° Rotation and Flip Remote Control Electric Drift RC Car High Speed Autos For Adults Kid",https://imgaz1.staticbg.com/thumb/gallery/oaupload/banggood/images/EA/1B/a6e8cc39-2ab8-4350-aefc-8feacddd6720.jpg,https://www.banggood.com/EACHINE-EC10-Stunt-RC-Car-Double-Sided-360-Rotation-and-Flip-Remote-Control-Electric-Drift-RC-Car-High-Speed-Autos-For-Adults-Kid-reviews-p1787975.html,"US$49.99 ~ US$52.99",US$1.61,https://www.banggood.com/EACHINE-EC10-Stunt-RC-Car-Double-Sided-360-Rotation-and-Flip-Remote-Control-Electric-Drift-RC-Car-High-Speed-Autos-For-Adults-Kid-p-1787975.html?p=4T181370308054202203&custlinkid=1794869
1791887,"SG 1603 RTR Several Battery 1/16 2.4G 4WD 30km/h RC Car LED Light Drift On-Road Proportional Vehicles Model",https://imgaz3.staticbg.com/thumb/gallery/oaupload/banggood/images/40/D0/4ad9cdc1-0792-42eb-af59-c035ee52f1c1.jpg,https://www.banggood.com/SG-1603-RTR-Several-Battery-1-or-16-2_4G-4WD-30km-or-h-RC-Car-LED-Light-Drift-On-Road-Proportional-Vehicles-Model-reviews-p1791887.html,"US$79.99 ~ US$87.99",US$9.14,https://www.banggood.com/SG-1603-RTR-Several-Battery-1-or-16-2_4G-4WD-30km-or-h-RC-Car-LED-Light-Drift-On-Road-Proportional-Vehicles-Model-p-1791887.html?p=4T181370308054202203&custlinkid=1794870
1820875,"Eachine EAT13 1/20 RC Car 2.4G 25km/h High Speed RTR Off-Road RC Vehicle Toy for Kids and Beginners",https://imgaz1.staticbg.com/thumb/gallery/oaupload/banggood/images/38/E7/1b408cb7-c433-45df-895c-f5f5b5e8dc51.jpg,https://www.banggood.com/Eachine-EAT13-1-or-20-RC-Car-2_4G-25km-or-h-High-Speed-RTR-Off-Road-RC-Vehicle-Toy-for-Kids-and-Beginners-reviews-p1820875.html,"US$18.19 ~ US$23.19",US$1.33,https://www.banggood.com/Eachine-EAT13-1-or-20-RC-Car-2_4G-25km-or-h-High-Speed-RTR-Off-Road-RC-Vehicle-Toy-for-Kids-and-Beginners-p-1820875.html?p=4T181370308054202203&custlinkid=1794871
1820883,"Eachine EAT13 1/20 RC Car with Two Batteries 2.4G 25km/h High Speed RTR Off-Road RC Vehicle Toy for Kids and Beginners",https://imgaz1.staticbg.com/thumb/gallery/oaupload/banggood/images/3F/20/927bd23e-01a2-4ee2-aa2a-3e576fa31dd4.jpg,https://www.banggood.com/Eachine-EAT13-1-or-20-RC-Car-with-Two-Batteries-2_4G-25km-or-h-High-Speed-RTR-Off-Road-RC-Vehicle-Toy-for-Kids-and-Beginners-reviews-p1820883.html,US$39.99,US$2.8,https://www.banggood.com/Eachine-EAT13-1-or-20-RC-Car-with-Two-Batteries-2_4G-25km-or-h-High-Speed-RTR-Off-Road-RC-Vehicle-Toy-for-Kids-and-Beginners-p-1820883.html?p=4T181370308054202203&custlinkid=1794872
1822284,"Wltoys 124019 RTR Upgraded 7.4V 2600mAh 2.4G 4WD 60km/h Metal Chassis RC Car Vehicles Models Toys",https://imgaz3.staticbg.com/thumb/gallery/oaupload/banggood/images/C0/D1/ecc0fb4a-068b-4165-8d6b-59e6b0d5afdc.jpg,https://www.banggood.com/Wltoys-124019-RTR-Upgraded-7_4V-2600mAh-2_4G-4WD-60km-or-h-Metal-Chassis-RC-Car-Vehicles-Models-Toys-reviews-p1822284.html,US$116.99,US$8.19,https://www.banggood.com/Wltoys-124019-RTR-Upgraded-7_4V-2600mAh-2_4G-4WD-60km-or-h-Metal-Chassis-RC-Car-Vehicles-Models-Toys-p-1822284.html?p=4T181370308054202203&custlinkid=1794873
